batch_index,metric,area,comp,suff
0,auc,0.05,0.0,0.0
0,accuracy,0.05,1.0,1.0
0,cross_entropy,0.05,0.078936,0.071119
0,auc,0.075,0.0,0.0
0,accuracy,0.075,1.0,1.0
0,cross_entropy,0.075,0.079366,0.069867
0,auc,0.1,0.0,0.0
0,accuracy,0.1,1.0,1.0
0,cross_entropy,0.1,0.077925,0.070755
0,auc,0.15,0.0,0.0
0,accuracy,0.15,1.0,1.0
0,cross_entropy,0.15,0.078271,0.070121
1,auc,0.05,1.0,1.0
1,accuracy,0.05,1.0,1.0
1,cross_entropy,0.05,0.10501,0.083611
1,auc,0.075,1.0,1.0
1,accuracy,0.075,1.0,1.0
1,cross_entropy,0.075,0.102887,0.083917
1,auc,0.1,1.0,1.0
1,accuracy,0.1,1.0,1.0
1,cross_entropy,0.1,0.100797,0.084232
1,auc,0.15,1.0,1.0
1,accuracy,0.15,1.0,1.0
1,cross_entropy,0.15,0.097275,0.086167
2,auc,0.05,1.0,0.967742
2,accuracy,0.05,0.96875,0.96875
2,cross_entropy,0.05,0.129848,0.137212
2,auc,0.075,1.0,1.0
2,accuracy,0.075,0.96875,0.96875
2,cross_entropy,0.075,0.128277,0.136654
2,auc,0.1,1.0,1.0
2,accuracy,0.1,0.96875,0.96875
2,cross_entropy,0.1,0.127115,0.135372
2,auc,0.15,1.0,1.0
2,accuracy,0.15,0.96875,0.96875
2,cross_entropy,0.15,0.133227,0.122962
3,auc,0.05,0.0,0.0
3,accuracy,0.05,1.0,1.0
3,cross_entropy,0.05,0.118836,0.071817
3,auc,0.075,0.0,0.0
3,accuracy,0.075,1.0,1.0
3,cross_entropy,0.075,0.115865,0.072382
3,auc,0.1,0.0,0.0
3,accuracy,0.1,1.0,1.0
3,cross_entropy,0.1,0.110477,0.074981
3,auc,0.15,0.0,0.0
3,accuracy,0.15,1.0,1.0
3,cross_entropy,0.15,0.104184,0.078778
4,auc,0.05,0.0,0.0
4,accuracy,0.05,1.0,1.0
4,cross_entropy,0.05,0.086215,0.069782
4,auc,0.075,0.0,0.0
4,accuracy,0.075,1.0,1.0
4,cross_entropy,0.075,0.085601,0.069523
4,auc,0.1,0.0,0.0
4,accuracy,0.1,1.0,1.0
4,cross_entropy,0.1,0.084807,0.06905
4,auc,0.15,0.0,0.0
4,accuracy,0.15,1.0,1.0
