batch_index,metric,area,comp,suff
0,auc,0.05,1.0,1.0
0,accuracy,0.05,1.0,0.96875
0,cross_entropy,0.05,0.117983,0.140301
0,auc,0.075,1.0,1.0
0,accuracy,0.075,1.0,0.96875
0,cross_entropy,0.075,0.1164,0.138232
0,auc,0.1,1.0,1.0
0,accuracy,0.1,1.0,0.96875
0,cross_entropy,0.1,0.114887,0.136287
0,auc,0.15,1.0,1.0
0,accuracy,0.15,1.0,0.96875
0,cross_entropy,0.15,0.113412,0.130224
1,auc,0.05,0.0,0.0
1,accuracy,0.05,1.0,1.0
1,cross_entropy,0.05,0.104708,0.082323
1,auc,0.075,0.0,0.0
1,accuracy,0.075,1.0,1.0
1,cross_entropy,0.075,0.10434,0.082568
1,auc,0.1,0.0,0.0
1,accuracy,0.1,1.0,1.0
1,cross_entropy,0.1,0.103035,0.082899
1,auc,0.15,0.0,0.0
1,accuracy,0.15,1.0,1.0
1,cross_entropy,0.15,0.101341,0.083961
2,auc,0.05,0.0,0.0
2,accuracy,0.05,1.0,1.0
2,cross_entropy,0.05,0.12444,0.07632
2,auc,0.075,0.0,0.0
2,accuracy,0.075,1.0,1.0
2,cross_entropy,0.075,0.122569,0.077671
2,auc,0.1,0.0,0.0
2,accuracy,0.1,1.0,1.0
2,cross_entropy,0.1,0.118329,0.079556
2,auc,0.15,0.0,0.0
2,accuracy,0.15,1.0,1.0
2,cross_entropy,0.15,0.116333,0.081163
3,auc,0.05,0.0,0.0
3,accuracy,0.05,1.0,1.0
3,cross_entropy,0.05,0.087522,0.080197
3,auc,0.075,0.0,0.0
3,accuracy,0.075,1.0,1.0
3,cross_entropy,0.075,0.086185,0.079281
3,auc,0.1,0.0,0.0
3,accuracy,0.1,1.0,1.0
3,cross_entropy,0.1,0.0851,0.077696
3,auc,0.15,0.0,0.0
3,accuracy,0.15,1.0,1.0
3,cross_entropy,0.15,0.083148,0.076321
4,auc,0.05,0.0,0.0
4,accuracy,0.05,1.0,1.0
4,cross_entropy,0.05,0.07551,0.071412
4,auc,0.075,0.0,0.0
4,accuracy,0.075,1.0,1.0
4,cross_entropy,0.075,0.074625,0.070941
4,auc,0.1,0.0,0.0
4,accuracy,0.1,1.0,1.0
4,cross_entropy,0.1,0.074163,0.071076
4,auc,0.15,0.0,0.0
4,accuracy,0.15,1.0,1.0
4,cross_entropy,0.15,0.072185,0.069834
5,auc,0.05,0.0,0.0
5,accuracy,0.05,1.0,1.0
5,cross_entropy,0.05,0.083885,0.077295
5,auc,0.075,0.0,0.0
5,accuracy,0.075,1.0,1.0
5,cross_entropy,0.075,0.082032,0.076816
5,auc,0.1,0.0,0.0
5,accuracy,0.1,1.0,1.0
5,cross_entropy,0.1,0.081229,0.076219
5,auc,0.15,0.0,0.0
5,accuracy,0.15,1.0,1.0
5,cross_entropy,0.15,0.080997,0.075394
6,auc,0.05,0.0,0.0
6,accuracy,0.05,1.0,1.0
6,cross_entropy,0.05,0.082565,0.072173
6,auc,0.075,0.0,0.0
6,accuracy,0.075,1.0,1.0
6,cross_entropy,0.075,0.082205,0.071643
6,auc,0.1,0.0,0.0
6,accuracy,0.1,1.0,1.0
6,cross_entropy,0.1,0.081594,0.07176
6,auc,0.15,0.0,0.0
6,accuracy,0.15,1.0,1.0
6,cross_entropy,0.15,0.080164,0.071415
7,auc,0.05,1.0,0.709677
7,accuracy,0.05,1.0,0.96875
7,cross_entropy,0.05,0.103337,0.152814
7,auc,0.075,1.0,0.935484
7,accuracy,0.075,1.0,0.96875
7,cross_entropy,0.075,0.103122,0.148603
7,auc,0.1,1.0,0.967742
7,accuracy,0.1,1.0,0.96875
7,cross_entropy,0.1,0.103129,0.143666
7,auc,0.15,1.0,1.0
7,accuracy,0.15,1.0,0.96875
7,cross_entropy,0.15,0.1041,0.137307
8,auc,0.05,0.0,0.0
8,accuracy,0.05,1.0,1.0
8,cross_entropy,0.05,0.090224,0.075794
8,auc,0.075,0.0,0.0
8,accuracy,0.075,1.0,1.0
8,cross_entropy,0.075,0.089217,0.076963
8,auc,0.1,0.0,0.0
8,accuracy,0.1,1.0,1.0
