batch_index,metric,area,comp,suff
0,auc,0.05,0.0,0.0
0,accuracy,0.05,1.0,1.0
0,cross_entropy,0.05,0.07515,0.070731
0,auc,0.075,0.0,0.0
0,accuracy,0.075,1.0,1.0
0,cross_entropy,0.075,0.074382,0.071861
0,auc,0.1,0.0,0.0
0,accuracy,0.1,1.0,1.0
0,cross_entropy,0.1,0.073815,0.074242
0,auc,0.15,0.0,0.0
0,accuracy,0.15,1.0,1.0
0,cross_entropy,0.15,0.074045,0.075511
1,auc,0.05,0.967742,0.967742
1,accuracy,0.05,0.96875,0.96875
1,cross_entropy,0.05,0.124765,0.128601
1,auc,0.075,0.967742,1.0
1,accuracy,0.075,0.96875,0.96875
1,cross_entropy,0.075,0.127526,0.122696
1,auc,0.1,0.967742,1.0
1,accuracy,0.1,0.96875,0.96875
1,cross_entropy,0.1,0.128803,0.120998
1,auc,0.15,0.967742,1.0
1,accuracy,0.15,0.96875,0.96875
1,cross_entropy,0.15,0.130259,0.121587
2,auc,0.05,0.0,0.0
2,accuracy,0.05,1.0,1.0
2,cross_entropy,0.05,0.091275,0.087716
2,auc,0.075,0.0,0.0
2,accuracy,0.075,1.0,1.0
2,cross_entropy,0.075,0.086943,0.093434
2,auc,0.1,0.0,0.0
2,accuracy,0.1,1.0,1.0
2,cross_entropy,0.1,0.085514,0.095838
2,auc,0.15,0.0,0.0
2,accuracy,0.15,1.0,1.0
2,cross_entropy,0.15,0.080789,0.103844
3,auc,0.05,1.0,1.0
3,accuracy,0.05,0.96875,0.96875
3,cross_entropy,0.05,0.123744,0.145171
3,auc,0.075,1.0,1.0
3,accuracy,0.075,0.96875,0.96875
3,cross_entropy,0.075,0.124503,0.141807
3,auc,0.1,1.0,1.0
3,accuracy,0.1,0.96875,0.96875
3,cross_entropy,0.1,0.124841,0.142621
3,auc,0.15,1.0,1.0
3,accuracy,0.15,0.96875,0.96875
3,cross_entropy,0.15,0.127172,0.149393
4,auc,0.05,0.0,0.0
4,accuracy,0.05,1.0,1.0
4,cross_entropy,0.05,0.067394,0.069651
4,auc,0.075,0.0,0.0
4,accuracy,0.075,1.0,1.0
4,cross_entropy,0.075,0.066129,0.072327
4,auc,0.1,0.0,0.0
4,accuracy,0.1,1.0,1.0
4,cross_entropy,0.1,0.065632,0.073974
4,auc,0.15,0.0,0.0
