batch_index,metric,area,comp,suff
0,auc,0.05,0.0,0.0
0,accuracy,0.05,1.0,1.0
0,cross_entropy,0.05,0.076694,0.088123
0,auc,0.075,0.0,0.0
0,accuracy,0.075,1.0,1.0
0,cross_entropy,0.075,0.072401,0.094913
0,auc,0.1,0.0,0.0
0,accuracy,0.1,1.0,1.0
0,cross_entropy,0.1,0.070893,0.097506
0,auc,0.15,0.0,0.0
0,accuracy,0.15,1.0,1.0
0,cross_entropy,0.15,0.068528,0.103289
1,auc,0.05,0.0,0.0
1,accuracy,0.05,1.0,1.0
1,cross_entropy,0.05,0.074234,0.080642
1,auc,0.075,0.0,0.0
1,accuracy,0.075,1.0,1.0
1,cross_entropy,0.075,0.076871,0.08257
1,auc,0.1,0.0,0.0
1,accuracy,0.1,1.0,1.0
1,cross_entropy,0.1,0.078161,0.083424
1,auc,0.15,0.0,0.0
1,accuracy,0.15,1.0,1.0
1,cross_entropy,0.15,0.077858,0.08894
2,auc,0.05,1.0,1.0
2,accuracy,0.05,0.96875,0.96875
2,cross_entropy,0.05,0.120784,0.129389
2,auc,0.075,1.0,1.0
2,accuracy,0.075,0.96875,0.96875
2,cross_entropy,0.075,0.128699,0.128188
2,auc,0.1,1.0,1.0
2,accuracy,0.1,0.96875,0.96875
2,cross_entropy,0.1,0.133853,0.12963
2,auc,0.15,1.0,1.0
2,accuracy,0.15,0.96875,1.0
2,cross_entropy,0.15,0.139763,0.13179
3,auc,0.05,0.0,0.0
3,accuracy,0.05,1.0,1.0
3,cross_entropy,0.05,0.077098,0.100018
3,auc,0.075,0.0,0.0
3,accuracy,0.075,1.0,1.0
3,cross_entropy,0.075,0.075697,0.103422
3,auc,0.1,0.0,0.0
3,accuracy,0.1,1.0,1.0
3,cross_entropy,0.1,0.074787,0.107006
3,auc,0.15,0.0,0.0
3,accuracy,0.15,1.0,1.0
3,cross_entropy,0.15,0.072466,0.11167
4,auc,0.05,1.0,1.0
4,accuracy,0.05,1.0,1.0
4,cross_entropy,0.05,0.090197,0.107128
4,auc,0.075,1.0,1.0
4,accuracy,0.075,0.96875,1.0
4,cross_entropy,0.075,0.099158,0.10146
4,auc,0.1,1.0,1.0
4,accuracy,0.1,0.96875,1.0
4,cross_entropy,0.1,0.110146,0.099174
4,auc,0.15,1.0,1.0
4,accuracy,0.15,0.96875,1.0
